iter	Passed	Remaining
406	9300	13551
407	9315	13516
408	9369	13538
409	9399	13525
410	9408	13483
411	9422	13448
412	9460	13446
413	9480	13419
414	9518	13417
415	9568	13433
416	9599	13420
417	9623	13399
418	9643	13371
419	9670	13354
420	9696	13335
421	9712	13302
422	9739	13285
423	9763	13263
424	9781	13234
425	9799	13204
426	9834	13196
427	9854	13169
428	9870	13137
429	9886	13105
430	9903	13074
431	9918	13040
432	9929	13002
433	9972	13005
434	9989	12974
435	10005	12943
436	10031	12923
437	10048	12893
438	10075	12875
439	10101	12856
440	10119	12826
441	10131	12790
442	10149	12761
443	10170	12735
444	10189	12708
445	10210	12683
446	10251	12682
447	10299	12690
448	10316	12660
449	10354	12655
450	10398	12657
451	10413	12624
452	10472	12645
453	10488	12614
454	10566	12656
455	10598	12644
456	10615	12613
457	10648	12601
458	10666	12572
459	10682	12540
460	10699	12509
461	10714	12477
462	10729	12444
463	10746	12414
464	10761	12382
465	10782	12355
466	10810	12338
467	10814	12293
468	10837	12270
469	10872	12260
470	10897	12239
471	10915	12211
472	10936	12185
473	10958	12160
474	10980	12135
475	10994	12103
476	11010	12072
477	11027	12042
478	11050	12019
479	11065	11987
480	11074	11949
481	11092	11920
482	11111	11893
483	11128	11863
484	11146	11836
485	11159	11802
486	11174	11770
487	11192	11742
488	11208	11712
489	11219	11677
490	11236	11648
491	11255	11621
492	11269	11589
493	11287	11562
494	11300	11528
495	11318	11501
496	11335	11472
497	11349	11440
498	11364	11409
499	11393	11393
500	11407	11361
501	11424	11333
502	11444	11308
503	11460	11278
504	11472	11245
505	11510	11237
506	11521	11203
507	11534	11171
508	11556	11147
509	11571	11117
510	11605	11105
511	11620	11076
512	11636	11046
513	11658	11023
514	11672	10992
515	11696	10970
516	11751	10979
517	11770	10952
518	11786	10923
519	11811	10902
520	11824	10871
521	11839	10841
522	11850	10808
523	11867	10780
524	11881	10750
525	11909	10732
526	11933	10711
527	11964	10695
528	11980	10666
529	12010	10650
530	12031	10627
531	12046	10597
532	12071	10576
533	12122	10578
534	12157	10566
535	12175	10540
536	12189	10509
537	12204	10480
538	12225	10456
539	12241	10428
540	12258	10400
541	12267	10366
542	12286	10340
543	12301	10311
544	12312	10278
545	12324	10247
546	12341	10220
547	12367	10200
548	12379	10169
549	12393	10140
550	12406	10109
551	12425	10084
552	12437	10053
553	12453	10025
554	12472	10000
555	12511	9991
556	12535	9969
557	12556	9946
558	12578	9923
559	12598	9898
560	12624	9878
561	12639	9850
562	12653	9821
563	12668	9793
564	12685	9766
565	12695	9735
566	12707	9704
567	12720	9674
568	12738	9649
569	12751	9619
570	12769	9594
571	12815	9589
572	12834	9564
573	12860	9544
574	12880	9520
575	12895	9492
576	12905	9461
577	12919	9432
578	12934	9404
579	12946	9374
580	12961	9347
581	12981	9323
582	13009	9305
583	13023	9277
584	13037	9248
585	13052	9221
586	13066	9193
587	13078	9163
588	13091	9134
589	13101	9104
590	13116	9077
591	13133	9051
592	13152	9027
593	13165	8998
594	13177	8969
595	13190	8941
596	13204	8913
597	13214	8883
598	13227	8855
599	13246	8830
600	13259	8803
601	13272	8775
602	13283	8745
603	13298	8719
604	13312	8691
605	13325	8663
606	13342	8638
607	13354	8610
608	13373	8586
609	13387	8559
610	13401	8532
611	13413	8504
612	13425	8475
613	13441	8450
614	13455	8423
615	13466	8394
616	13478	8366
617	13492	8340
618	13514	8318
619	13559	8310
620	13579	8287
621	13612	8272
622	13629	8247
623	13672	8238
624	13698	8219
625	13732	8204
626	13748	8178
627	13762	8152
628	13790	8133
629	13816	8114
630	13831	8088
631	13844	8061
632	13891	8053
633	13909	8029
634	13974	8032
635	14000	8012
636	14018	7988
637	14068	7982
638	14091	7960
639	14114	7939
640	14136	7917
641	14154	7893
642	14172	7868
643	14201	7850
644	14214	7823
645	14224	7794
646	14243	7771
647	14274	7754
648	14287	7726
649	14298	7699
650	14317	7675
651	14330	7648
652	14403	7653
653	14428	7633
654	14442	7607
655	14468	7586
656	14502	7571
657	14522	7548
658	14562	7535
659	14615	7529
660	14625	7500
661	14636	7473
662	14651	7447
663	14661	7418
664	14672	7391
665	14689	7366
666	14702	7340
667	14719	7315
668	14731	7288
669	14743	7261
670	14759	7237
671	14774	7211
672	14785	7184
673	14796	7156
674	14811	7131
675	14829	7107
676	14842	7081
677	14855	7055
678	14866	7028
679	14881	7003
680	14894	6976
681	14911	6952
682	14924	6926
683	14939	6901
684	14959	6879
685	14974	6854
686	14988	6828
687	14999	6802
688	15013	6776
689	15032	6753
690	15082	6744
691	15118	6729
692	15176	6723
693	15211	6707
694	15237	6686
695	15286	6676
696	15305	6653
697	15320	6628
698	15333	6602
699	15346	6576
700	15358	6550
701	15372	6525
702	15389	6501
703	15402	6476
704	15417	6451
705	15426	6423
706	15445	6401
707	15460	6376
708	15475	6351
709	15489	6326
710	15510	6304
711	15527	6280
712	15546	6257
713	15557	6231
714	15576	6208
715	15597	6186
716	15608	6160
717	15617	6133
718	15628	6107
719	15639	6082
720	15651	6056
721	15660	6030
722	15674	6005
723	15679	5977
724	15692	5952
725	15703	5926
726	15718	5902
727	15739	5880
728	15752	5855
729	15767	5831
730	15779	5806
731	15794	5782
732	15808	5758
733	15819	5733
734	15830	5707
735	15845	5683
736	15864	5661
737	15880	5637
738	15902	5616
739	15918	5593
740	15939	5571
741	15950	5546
742	15966	5522
743	15983	5499
744	16005	5478
745	16019	5454
746	16031	5429
747	16046	5406
748	16066	5384
749	16081	5360
750	16094	5336
751	16110	5312
752	16132	5291
753	16145	5267
754	16160	5244
755	16172	5219
756	16187	5196
757	16203	5173
758	16215	5148
759	16227	5124
760	16247	5102
761	16264	5080
762	16284	5058
763	16296	5034
764	16345	5021
765	16363	4998
766	16396	4980
767	16408	4956
768	16420	4932
769	16430	4907
770	16443	4884
771	16457	4860
772	16472	4837
773	16484	4813
774	16499	4790
775	16526	4770
776	16538	4746
777	16554	4723
778	16565	4699
779	16593	4680
780	16605	4656
781	16621	4633
782	16637	4610
783	16649	4587
784	16661	4563
785	16672	4539
786	16685	4515
787	16697	4492
788	16709	4468
789	16720	4444
790	16737	4422
791	16754	4400
792	16767	4377
793	16779	4353
794	16788	4328
795	16806	4307
796	16819	4284
797	16833	4261
798	16850	4239
799	16876	4219
800	16903	4199
801	16934	4180
802	16958	4160
803	16981	4139
804	17012	4120
805	17028	4098
806	17042	4075
807	17060	4054
808	17085	4033
809	17098	4010
810	17111	3987
811	17127	3965
812	17143	3943
813	17160	3921
814	17171	3897
815	17183	3874
816	17208	3854
817	17222	3831
818	17236	3809
819	17248	3786
820	17260	3763
821	17275	3740
822	17292	3719
823	17305	3696
824	17322	3674
825	17352	3655
826	17380	3635
827	17443	3623
828	17462	3602
829	17483	3580
830	17516	3562
831	17538	3541
832	17552	3518
833	17565	3496
834	17584	3474
835	17595	3451
836	17610	3429
837	17624	3407
838	17635	3384
839	17645	3361
840	17659	3338
841	17672	3316
842	17682	3293
843	17695	3270
844	17707	3248
845	17721	3225
846	17739	3204
847	17752	3182
848	17765	3159
849	17776	3136
850	17791	3115
851	17807	3093
852	17823	3071
853	17837	3049
854	17857	3028
855	17879	3007
856	17891	2985
857	17906	2963
858	17923	2942
859	17939	2920
860	17955	2898
861	17965	2876
862	17980	2854
863	17997	2832
864	18012	2811
865	18024	2788
866	18035	2766
867	18048	2744
868	18063	2723
869	18079	2701
870	18088	2679
871	18102	2657
872	18120	2636
873	18136	2614
874	18151	2593
875	18165	2571
876	18176	2549
877	18191	2527
878	18205	2506
879	18218	2484
880	18229	2462
881	18243	2440
882	18260	2419
883	18273	2397
884	18285	2376
885	18297	2354
886	18308	2332
887	18322	2310
888	18334	2289
889	18345	2267
890	18360	2246
891	18379	2225
892	18392	2203
893	18406	2182
894	18416	2160
895	18427	2138
896	18440	2117
897	18453	2096
898	18465	2074
899	18490	2054
900	18513	2034
901	18559	2016
902	18576	1995
903	18593	1974
904	18645	1957
905	18660	1936
906	18676	1915
907	18697	1894
908	18741	1876
909	18790	1858
910	18826	1839
911	18851	1819
912	18866	1797
913	18889	1777
914	18914	1757
915	18933	1736
916	18947	1715
917	18966	1694
918	18984	1673
919	18995	1651
920	19006	1630
921	19023	1609
922	19041	1588
923	19056	1567
924	19069	1546
925	19080	1524
926	19099	1504
927	19113	1482
928	19127	1461
929	19137	1440
930	19155	1419
931	19174	1398
932	19189	1378
933	19200	1356
934	19213	1335
935	19227	1314
936	19244	1293
937	19255	1272
938	19268	1251
939	19282	1230
940	19304	1210
941	19318	1189
942	19331	1168
943	19343	1147
944	19359	1126
945	19371	1105
946	19385	1084
947	19398	1064
948	19416	1043
949	19443	1023
950	19461	1002
951	19471	981
952	19493	961
953	19506	940
954	19517	919
955	19531	898
956	19550	878
957	19595	859
958	19609	838
959	19627	817
960	19724	800
961	19952	788
962	20012	768
963	20046	748
964	20078	728
965	20145	709
966	20168	688
967	20184	667
968	20242	647
969	20275	627
970	20292	606
971	20307	584
972	20324	563
973	20349	543
974	20362	522
975	20385	501
976	20419	480
977	20436	459
978	20451	438
979	20510	418
980	20524	397
981	20538	376
982	20588	356
983	20602	334
984	20621	314
985	20667	293
986	20721	272
987	20750	252
988	20795	231
989	20811	210
990	20837	189
991	20870	168
992	20888	147
993	20917	126
994	20942	105
995	20956	84
996	20974	63
997	20999	42
998	21019	21
999	21040	0
