iter	Logloss
0	0.6884961803
1	0.6832200081
2	0.6775655526
3	0.672032258
4	0.6670155262
5	0.6612981382
6	0.6562560897
7	0.6515456281
8	0.6470337506
9	0.6419393024
10	0.6371531954
11	0.6324460267
12	0.6282301746
13	0.6238953139
14	0.6194790814
15	0.6151755275
16	0.6104799678
17	0.6060661631
18	0.6022099664
19	0.5980372498
20	0.594235843
21	0.5903222708
22	0.5867249083
23	0.5829745908
24	0.5790932848
25	0.5756997775
26	0.5720670688
27	0.5680074693
28	0.5646052554
29	0.5615663841
30	0.5582147313
31	0.5544501219
32	0.5504214421
33	0.5471964011
34	0.5443267896
35	0.5413319033
36	0.5384134699
37	0.5355466894
38	0.5325351734
39	0.5296299007
40	0.5272910495
41	0.5248028421
42	0.5224017698
43	0.5196290336
44	0.5174549464
45	0.5146454058
46	0.5120123599
47	0.5089845977
48	0.5064039609
49	0.5038218217
50	0.5012063049
51	0.4986317074
52	0.4962128549
53	0.4938335241
54	0.4914981571
55	0.4894560224
56	0.4871547847
57	0.4844971734
58	0.4826344288
59	0.4806263455
60	0.4788196693
61	0.4769839187
62	0.4748458312
63	0.4726410976
64	0.4703455511
65	0.4682339175
66	0.4661860034
67	0.4649452599
68	0.463240529
69	0.4616150399
70	0.4597927092
71	0.4579568332
72	0.4561395819
73	0.4547103551
74	0.4534348919
75	0.4516250125
76	0.4498958402
77	0.4480093253
78	0.4465976809
79	0.4452290353
80	0.4441157557
81	0.442695653
82	0.4414570639
83	0.4401032308
84	0.4385029007
85	0.4369279648
86	0.4352464927
87	0.4337532327
88	0.432319129
89	0.4308808363
90	0.4295539927
91	0.4281428016
92	0.4266217736
93	0.4254231554
94	0.4235712921
95	0.4223797314
96	0.4214210628
97	0.4199782142
98	0.4186388988
99	0.4175324875
100	0.4162588036
101	0.4150974193
102	0.4136614189
103	0.4123960954
104	0.4114405535
105	0.4104987567
106	0.4092886102
107	0.4081120377
108	0.4068847354
109	0.4055367495
110	0.4042168177
111	0.4032137542
112	0.4020873966
113	0.4012658434
114	0.4001944609
115	0.3991192408
116	0.397969782
117	0.3966114413
118	0.3957195098
119	0.3949269805
120	0.3938814438
121	0.3927680829
122	0.3920597018
123	0.3912856085
124	0.3905443987
125	0.3897747078
126	0.3888539743
127	0.3878428001
128	0.3871137714
129	0.3864585932
130	0.3856747559
131	0.3849591908
132	0.3843583056
133	0.3831864999
134	0.38234912
135	0.3818805339
136	0.381087019
137	0.380377651
138	0.3798317774
139	0.3789223806
140	0.3781107956
141	0.3772820374
142	0.3763474515
143	0.375592442
144	0.3747049615
145	0.373699196
146	0.3730922013
147	0.3724048984
148	0.3719736442
149	0.3711434369
150	0.3705222515
151	0.36961198
152	0.3688006123
153	0.3680617144
154	0.3676114892
155	0.3672827086
156	0.3667974952
157	0.366052015
158	0.3657461287
159	0.3650464733
160	0.3641589815
161	0.3636398811
162	0.3627540249
163	0.362009946
164	0.3612991494
165	0.3606321252
166	0.3597140025
167	0.3590971521
168	0.3586636172
169	0.3579544989
170	0.3575008529
171	0.3568353638
172	0.3561364581
173	0.3557258861
174	0.355131398
175	0.3545462682
176	0.3540888213
177	0.3536560058
178	0.3530035877
179	0.3525912073
180	0.3520909732
181	0.3514575058
182	0.3508669413
183	0.3504889721
184	0.3500070932
185	0.3496573082
186	0.3492818842
187	0.3487064851
188	0.3481203794
189	0.3477097517
190	0.3469020869
191	0.3465049302
192	0.3458016077
193	0.3451137911
194	0.3447230378
195	0.3442922566
196	0.3437921965
197	0.3434387595
198	0.343095439
199	0.3426126694
200	0.3422621259
201	0.3418206335
202	0.34112732
203	0.3407225654
204	0.3401321372
205	0.3395626444
206	0.3390178939
207	0.3385111883
208	0.3379613025
209	0.3376378745
210	0.337107438
211	0.3368466857
212	0.3363127022
213	0.3358888445
214	0.3357029904
215	0.3353855662
216	0.3351000097
217	0.3345936767
218	0.3340365066
219	0.3335079849
220	0.3331604579
221	0.3329316037
222	0.3324496003
223	0.3319479571
224	0.3316676228
225	0.3311459107
226	0.3306464696
227	0.3302398623
228	0.3300059931
